final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,1.029711256705923e-05,7500,8000,0.7490857725109403,0.8132699029606492,0.15909100524623457,full_steerage_v3,59
1.0,6.4496739469177555e-06,6500,6500,0.7600471061931559,0.9447612381942044,0.1083450562700965,full_steerage_v3,1
1.0,0.0003122504276689142,6500,7500,0.7091554010906982,0.9924642118424378,0.09152193687595192,full_steerage_v3,98
1.0,3.7349182093748823e-06,6500,7500,0.7694571651996115,0.9953848158266251,0.09159941402944663,full_steerage_v3,19
1.0,1.1255062418058515e-05,8000,8000,0.7466678789881703,0.782714860392729,0.1662220764934845,full_steerage_v3,110
1.0,0.0006605861708521843,7500,9000,0.6891005154448585,0.9838477803920236,0.11651241749873076,full_steerage_v3,52
1.0,1.1900690878974274e-05,7500,8000,0.7456507777357723,0.7720162558377472,0.1665150617701811,full_steerage_v3,83
1.0,1.0672775715647731e-05,7500,8000,0.7543712497771148,0.7725623275773895,0.1654012946353021,full_steerage_v3,120
1.0,1.2884831448900513e-05,7500,8000,0.7449155206895934,0.7693482151651849,0.16729062658656285,full_steerage_v3,69
1.0,0.0002640365273691714,7500,8000,0.6652646764897976,0.9971547812761121,0.10752559654763921,full_steerage_v3,67
1.0,1.1588538654905278e-05,8000,9500,0.7441002309026514,0.8331136560633827,0.15803726307327803,full_steerage_v3,63
1.0,1.1764647751988377e-05,7500,8000,0.7476632396216281,0.9056892756545222,0.1315022634963615,full_steerage_v3,26
1.0,1.1470281606307253e-05,7500,7500,0.7483607454428592,0.7579920540432665,0.16724514511761718,full_steerage_v3,28
1.0,8.759001502767205e-06,7500,7500,0.7599748487676006,0.8137809974604534,0.14936563927906585,full_steerage_v3,117
1.0,3.539946419550688e-06,6500,7500,0.7770940964940917,0.9979588920872984,0.092772412844813,full_steerage_v3,116
1.0,1.2922302630613558e-05,7500,8000,0.7442906019720849,0.7851378705218824,0.1681478993907599,full_steerage_v3,64
1.0,0.00037209317088127136,6000,7000,0.6608312002099267,0.9956765034342444,0.10267758927060419,full_steerage_v3,109
1.0,4.646549314202275e-06,6000,6500,0.7655265994557966,0.9483752739406055,0.09466518234895918,full_steerage_v3,124
1.0,1.2391569725878071e-05,7500,8000,0.7429485206357679,0.8144643576388702,0.1607169677610425,full_steerage_v3,68
1.0,5.58791452931473e-06,7500,8500,0.7603758338356726,0.9666105788606478,0.10538849636148248,full_steerage_v3,14
1.0,1.2783107194991317e-05,7500,7500,0.7456323847623376,0.7984972580663493,0.16309892748349974,full_steerage_v3,36
1.0,1.0443944120197557e-05,8000,8000,0.7439984766588881,0.7140086490377555,0.1759508800135387,full_steerage_v3,111
1.0,1.2914295439259149e-05,7500,9000,0.7414119016433285,0.8213597064833277,0.1609028600440007,full_steerage_v3,104
1.0,0.0003129570104647428,7000,8000,0.674091629439282,0.9906059393801636,0.08335246023015741,full_steerage_v3,10
